CODE_NUTS3,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS
DEA22,2323.0,47874.0,68102.0,66290.0,68334.0,5.0,171094,173795
UKJ31,5358.0,38126.0,57837.0,41467.0,39136.0,4.0,93846,91118
DE71A,1073.0,35857.0,35411.0,44960.0,57170.0,4.0,114975,113194
DEA11,2855.0,84624.0,108299.0,137373.0,134868.0,4.0,345371,346207
DEA27,665.0,66220.0,74428.0,83100.0,113014.0,3.0,220234,222620
DEA26,279.0,35823.0,44675.0,44405.0,63235.0,2.0,122432,124927
DEF07,77.0,21208.0,27073.0,26080.0,39705.0,2.0,82615,98180
DEC05,341.0,16777.0,22073.0,22692.0,34642.0,-1.0,70595,73483
FR102,241.0,297247.0,264533.0,287928.0,290189.0,3.0,554540,604082
DE401,314.0,8529.0,9229.0,12942.0,15869.0,1.0,40801,43339
UKG22,101.0,49746.0,49566.0,51912.0,71925.0,4.0,142334,145979
UKF11,3322.0,51410.0,53745.0,49919.0,49284.0,3.0,110574,110902
DEA36,809.0,80416.0,96840.0,103821.0,149516.0,0.0,306681,316695
DEB37,660.0,5099.0,6599.0,6263.0,9209.0,1.0,21640,24676
DE11C,212.0,18603.0,22426.0,23464.0,30388.0,4.0,61443,63099
UKH21,4972.0,49723.0,42155.0,49944.0,37724.0,2.0,82259,80190
DEB22,96.0,14798.0,17183.0,18936.0,27231.0,1.0,52198,59103
DEB12,164.0,16046.0,20089.0,20208.0,31545.0,2.0,63002,67878
NL125,145.0,23207.0,23350.0,22408.0,32440.0,6.0,62202,65525
DE21H,528.0,53924.0,56991.0,67617.0,80612.0,6.0,165634,163913
DEF0E,129.0,17418.0,20582.0,20706.0,33868.0,1.0,64800,65468
DE241,1425.0,9598.0,17622.0,15602.0,15801.0,9.0,43876,43535
FRI12,160.0,275364.0,308154.0,314651.0,322356.0,6.0,735252,842290
UKJ14,266.0,123692.0,135593.0,131350.0,139783.0,3.0,285084,294244
DEB3J,347.0,29973.0,32057.0,36882.0,53278.0,3.0,98017,103126
UKG38,2753.0,58335.0,53231.0,53857.0,55620.0,4.0,118983,116281
UKI44,9618.0,117238.0,138853.0,175375.0,115732.0,5.0,274018,261802
CH061,275.0,62505.0,77019.0,84642.0,91652.0,5.0,176082,197239
UKF21,4889.0,72636.0,97953.0,70838.0,58196.0,6.0,139391,137257
DEA55,3042.0,20522.0,27360.0,27611.0,36231.0,1.0,79425,83627
UKM92,23.0,22141.0,22512.0,22081.0,34035.0,0.0,69987,75154
UKI31,11042.0,45228.0,69315.0,69804.0,46729.0,13.0,127902,112303
DE40A,116.0,28794.0,24979.0,37453.0,55158.0,3.0,102340,103704
UKK12,569.0,117815.0,132977.0,123156.0,142213.0,5.0,302711,299116
DE139,284.0,33199.0,38010.0,41444.0,55320.0,3.0,108891,111221
RO411,84.0,90092.0,103173.0,136028.0,130439.0,-4.0,229784,286234
DE215,126.0,13468.0,17868.0,19058.0,23699.0,3.0,53022,53475
DEG0K,70.0,9995.0,8963.0,13687.0,19893.0,-3.0,40797,44600
DE237,66.0,12102.0,15809.0,16378.0,23671.0,-1.0,43567,46497
FRK21,113.0,128604.0,105598.0,127627.0,137623.0,5.0,271426,308213
DE40H,79.0,22625.0,20800.0,31165.0,42677.0,4.0,82623,85442
FRK25,159.0,137851.0,128440.0,131184.0,148152.0,1.0,338236,393846
DE932,96.0,26080.0,29024.0,30779.0,47836.0,1.0,98632,103953
RO412,57.0,42794.0,52548.0,66872.0,75467.0,-5.0,114567,160678
UKN09,354.0,28569.0,25697.0,29009.0,34589.0,3.0,69698,74409
RO116,55.0,35420.0,34376.0,40996.0,44994.0,-4.0,75814,102931
ITC20,39.0,16630.0,17822.0,22701.0,30843.0,-2.0,60265,108564
UKI71,4571.0,80219.0,72161.0,93496.0,75353.0,6.0,157353,152543
FRH04,109.0,124071.0,108555.0,124915.0,155684.0,2.0,343433,459041
DEA5A,245.0,36952.0,50674.0,47401.0,63662.0,1.0,133058,137409
DE258,382.0,15875.0,16991.0,20683.0,28855.0,2.0,57424,57838
PT150,87.0,64860.0,67122.0,92363.0,92348.0,-2.0,185994,382211
RO316,152.0,103654.0,106835.0,150524.0,160838.0,-4.0,257168,327620
CH023,347.0,38593.0,47519.0,53064.0,64238.0,4.0,121260,136968
UKH14,200.0,129923.0,121260.0,130127.0,158147.0,3.0,339077,344948
UKI41,11066.0,130995.0,147963.0,190005.0,100323.0,9.0,245657,227311
FRC11,61.0,86726.0,102242.0,94509.0,105022.0,1.0,246027,285069
UKG36,3302.0,58904.0,55372.0,58106.0,67204.0,2.0,139359,139297
RO422,32.0,37826.0,42733.0,55150.0,59402.0,-5.0,97039,137671
UKM73,191.0,35016.0,32174.0,35804.0,43701.0,5.0,87035,89810
FRE12,219.0,278337.0,253232.0,273127.0,291055.0,0.0,608848,707568
DE251,420.0,5672.0,7638.0,7564.0,9397.0,5.0,21864,22074
SI031,85.0,15136.0,14822.0,23683.0,25856.0,-2.0,43842,48175
UKJ32,4961.0,44390.0,74721.0,49850.0,40957.0,4.0,110159,107405
DE923,186.0,19018.0,22210.0,22972.0,35770.0,0.0,78641,80599
DE268,133.0,12184.0,15338.0,16223.0,22134.0,3.0,42366,42350
DEF01,1795.0,11383.0,20885.0,15259.0,18237.0,6.0,53944,49936
UKD34,2440.0,97413.0,93117.0,105505.0,96998.0,4.0,222897,217376
DE122,1813.0,37870.0,72213.0,65265.0,63992.0,5.0,168854,159146
RO224,113.0,77395.0,83554.0,103655.0,106555.0,-4.0,186234,233317
CH031,5297.0,25663.0,32259.0,46433.0,41071.0,3.0,97123,110422
UKF24,294.0,78308.0,68679.0,79530.0,85796.0,5.0,174618,173464
DE409,89.0,25310.0,20071.0,34653.0,50764.0,3.0,95239,98534
RO122,102.0,91383.0,85295.0,125388.0,105339.0,-1.0,202852,252886
UKM91,25.0,18011.0,16662.0,17256.0,27233.0,2.0,55441,58764
FRI23,67.0,57269.0,60642.0,61498.0,74789.0,-1.0,179767,218972
DE40C,79.0,22270.0,19008.0,30134.0,44450.0,0.0,88869,94636
NL211,252.0,67259.0,70941.0,68224.0,77586.0,3.0,157614,158203
UKM78,428.0,33624.0,31659.0,36187.0,41419.0,3.0,79552,80547
NL412,514.0,73816.0,94485.0,85719.0,102808.0,3.0,217669,211574
DE279,337.0,24452.0,30276.0,32958.0,39682.0,4.0,83157,83296
DE91B,166.0,15282.0,18799.0,19148.0,30271.0,0.0,60725,61467
CH024,222.0,27831.0,33057.0,35350.0,38683.0,1.0,81132,95330
FRM02,38.0,27188.0,28850.0,33417.0,37344.0,5.0,80276,129305
DE26C,168.0,22147.0,25957.0,28973.0,38997.0,2.0,77054,78500
FRI34,62.0,72037.0,80895.0,74221.0,84955.0,1.0,202198,237778
RO414,72.0,52859.0,62635.0,78053.0,88652.0,-6.0,145255,191105
NL33D,934.0,64380.0,67773.0,67042.0,79687.0,-6.0,161330,142557
DEA17,2740.0,27742.0,35040.0,38119.0,49201.0,1.0,109229,110278
DE94A,158.0,12637.0,14756.0,14586.0,24000.0,1.0,50409,52289
SE125,48.0,48256.0,49652.0,48690.0,53156.0,5.0,127512,135181
DE135,181.0,19985.0,23596.0,23718.0,32996.0,3.0,64050,66882
DE941,1244.0,11070.0,13452.0,13393.0,17560.0,5.0,39546,38861
CH062,34.0,5408.0,6549.0,6815.0,8134.0,2.0,15253,19855
ES620,130.0,253987.0,251560.0,336775.0,326033.0,1.0,540682,793812
DE93A,64.0,11487.0,14084.0,14286.0,22816.0,0.0,47591,48468
RO311,85.0,82361.0,89740.0,124031.0,130130.0,-4.0,218809,280654
DEA31,1163.0,14921.0,18913.0,20251.0,28383.0,1.0,58864,59323
UKC23,2021.0,46434.0,52562.0,48995.0,58993.0,1.0,126170,128789
DE949,112.0,48026.0,58323.0,59114.0,75703.0,3.0,140621,139758
FRJ27,67.0,63069.0,56045.0,63987.0,80560.0,1.0,174944,209191
DE252,1453.0,14924.0,25717.0,22886.0,22503.0,6.0,62577,64517
UKI62,4490.0,81376.0,68245.0,87143.0,79520.0,3.0,161690,161509
UKE22,77.0,97914.0,90425.0,98122.0,140390.0,3.0,275951,293891
DEG0B,100.0,15124.0,14584.0,21724.0,30740.0,-3.0,62529,64586
FRJ23,219.0,244288.0,295137.0,286232.0,268816.0,6.0,637625,703119
DEA34,260.0,55494.0,66023.0,64126.0,89972.0,1.0,159023,161278
FRD22,198.0,225630.0,225330.0,225196.0,245128.0,0.0,558527,633849
DE123,410.0,61108.0,72194.0,80415.0,107369.0,4.0,205938,206660
UKM71,119.0,40945.0,55050.0,47408.0,53775.0,1.0,127136,131760
UKK11,4222.0,82205.0,129405.0,102567.0,73923.0,6.0,207898,200733
UKI53,6153.0,123644.0,113282.0,148901.0,106608.0,4.0,222020,208443
DE40B,90.0,12816.0,11570.0,18141.0,27202.0,-3.0,58268,63383
DE935,138.0,26067.0,32334.0,32991.0,43676.0,3.0,90019,89994
DEE09,101.0,24615.0,24737.0,34841.0,52384.0,-4.0,112468,125735
DEA42,376.0,53573.0,63440.0,65289.0,87476.0,3.0,163566,165121
RO415,61.0,46525.0,52206.0,65988.0,77558.0,-4.0,136996,184297
DE239,101.0,19342.0,25003.0,26796.0,35920.0,3.0,68975,69134
DEF0F,318.0,34690.0,33960.0,42394.0,60265.0,4.0,115327,114370
FRI14,61.0,53066.0,46469.0,53801.0,67119.0,0.0,151192,184028
DEA5B,227.0,41993.0,49841.0,51766.0,73303.0,2.0,140211,143361
DE934,39.0,5869.0,6549.0,7033.0,11605.0,-1.0,24373,26471
DE24B,109.0,8442.0,10871.0,11732.0,18293.0,-1.0,35883,37138
SI033,68.0,10180.0,9768.0,14509.0,15919.0,-1.0,28540,26805
DEE04,36.0,10780.0,9873.0,14232.0,21696.0,-3.0,40829,45044
DE939,167.0,29015.0,33323.0,35427.0,47701.0,3.0,97444,98546
DE111,3076.0,83654.0,129984.0,149217.0,127664.0,5.0,333253,316697
UKH12,215.0,115676.0,122300.0,123815.0,135118.0,3.0,276239,281761
FRD13,46.0,45163.0,39899.0,43762.0,57325.0,-2.0,127270,164492
DEB1D,104.0,13369.0,15936.0,17058.0,25293.0,1.0,47678,97673
ES220,62.0,100166.0,99003.0,134600.0,145749.0,2.0,256932,320820
DEF0C,98.0,27551.0,30432.0,31575.0,48588.0,2.0,95587,99078
FRJ12,127.0,126942.0,115352.0,126798.0,154369.0,2.0,331366,418651
ES130,108.0,76793.0,75477.0,122362.0,136001.0,-2.0,238583,363405
SI044,110.0,16132.0,15204.0,25301.0,25046.0,2.0,47547,55218
UKM50,76.0,79867.0,93278.0,102006.0,102445.0,1.0,223513,238572
UKK13,240.0,108275.0,104877.0,112140.0,138815.0,5.0,283219,291224
UKG32,1216.0,39754.0,35513.0,37412.0,46318.0,3.0,93957,92339
DEB35,2213.0,27058.0,51249.0,46787.0,41639.0,6.0,114204,117329
RO211,88.0,101679.0,103837.0,111405.0,118287.0,-3.0,219727,282485
DE27D,105.0,18871.0,23201.0,24871.0,31648.0,3.0,60212,60259
UKK24,2435.0,64198.0,71955.0,75072.0,78718.0,3.0,183058,297207
DE24D,121.0,8628.0,10801.0,11171.0,18068.0,-1.0,38161,41056
ITH20,87.0,77944.0,84723.0,99896.0,125822.0,1.0,233986,339975
DE145,144.0,29325.0,34311.0,35401.0,46165.0,4.0,85851,88574
RO114,73.0,72763.0,79576.0,102537.0,95913.0,-3.0,157807,206105
DEA32,2477.0,37452.0,45812.0,46726.0,58470.0,1.0,134372,138840
CH012,66.0,50223.0,62745.0,67311.0,77280.0,5.0,149720,255191
FRE23,92.0,98849.0,106620.0,101384.0,112783.0,0.0,247452,296826
UKF14,4479.0,59388.0,109060.0,60812.0,52707.0,6.0,143095,138443
RO223,95.0,108889.0,105814.0,154515.0,137259.0,-2.0,240851,297762
CH013,2041.0,78674.0,93192.0,114020.0,108257.0,6.0,202747,233757
DE249,107.0,11204.0,14066.0,14580.0,24115.0,-2.0,48218,51578
UKM75,1979.0,74631.0,125411.0,121355.0,95039.0,6.0,253440,252497
DEB18,289.0,25062.0,29443.0,29435.0,43949.0,1.0,85177,107753
SE211,31.0,66241.0,67717.0,64631.0,68082.0,6.0,161101,170212
