CODE_NUTS3,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE AREA,NTL_avg,NO2_avg,WIND_Avg,Temp_mean_over12yrs,PRESSURE_avg,PRECIPITATION,SOLAR_RAD_avg,LAI_avg
DEB1B,203.0,27711.0,31978.0,34507.0,50219.0,1.0,90695,52261,976.53,15.4560186068217,6.4097708373434,3.34368323057126,8.33167288509699,0.912063751465235,78.283653870607,10114.1144213554,2.02604161040618
UKK23,164.0,93221.0,85367.0,89063.0,121328.0,4.0,251110,150871,3411.38,11.5363372730654,3.0851998978984,4.32411195252969,9.86498129222451,1.01149587296858,81.211260221838,10269.2594515172,2.57491304193224
NL311,863.0,232013.0,264564.0,258419.0,281809.0,6.0,602452,572804,1533.16,38.2499997275216,7.27899786991388,4.00196208461883,9.61025136709213,1.01320078259423,67.2790728220864,9780.09785630968,2.22158413132032
UKK43,122.0,123295.0,131324.0,124481.0,168090.0,5.0,359829,377142,6491.17,8.38210781672422,2.28972605760856,5.1099610531977,9.87250116929527,1.03320397910222,92.3837743914405,10450.4445434097,2.87152993261087
DE118,312.0,49198.0,58937.0,64787.0,82051.0,5.0,155549,157103,1087.51,19.838889058431,4.57618055901042,2.66643931610244,9.44273726464737,0.958624345560869,69.6327714465913,10827.229968843,1.47711274001451
DEG0J,101.0,10382.0,9122.0,14269.0,20354.0,-2.0,40645,42855,804.66,13.4597222328186,4.04913889544981,3.37196969263481,8.61867639026428,0.899133516080452,53.7979797883467,10081.9079238429,1.93094636641798
DE238,139.0,27612.0,31614.0,36076.0,48064.0,4.0,88007,87900,1376.19,13.888888835907,3.49259953981748,2.43901143588272,8.18274441673466,0.900115057972132,58.6825638939353,10734.0936111749,1.9291050615518
FRB05,52.0,55201.0,47987.0,54500.0,68918.0,0.0,148850,182656,6362.06,6.29274893968136,2.38017592358368,3.87713592831707,11.0765264168446,1.05365410021373,56.1053240557254,11747.1880670192,1.08721563829038
CH070,126.0,47262.0,55564.0,66137.0,85262.0,2.0,163212,240779,2791.62,9.69955057979507,2.9735278576609,2.67674137245525,5.46550398314315,0.711760836719262,117.878998371086,13200.1846282651,1.68506963017567
DE244,795.0,5956.0,8129.0,7772.0,10167.0,3.0,26113,27321,57.31,26.6736106872559,2.98965277945002,3.48425926764806,7.10677080601454,0.849305560191472,66.8240737915039,10169.4022013346,1.93865742286046
UKF22,301.0,125034.0,132707.0,129790.0,160557.0,6.0,317975,319076,2445.34,24.0686507633754,5.20797453820705,4.56076751587292,9.23142181833585,0.96728950428466,55.2442310253779,9529.71041488647,1.87499750307364
UKN14,288.0,27776.0,25027.0,28694.0,31134.0,5.0,59084,62324,500.78,25.3098959922791,1.46755474246023,4.81548997759819,8.89896794491344,0.969130013551977,79.6880787743463,8935.65067545573,2.05671610797827
DE600,2498.0,261011.0,344130.0,417818.0,391391.0,6.0,1013795,963622,731.5,46.7152774810791,4.4416713009278,3.67301793230904,9.0725357292427,0.948214215122991,62.4068772262997,9589.37298329671,1.73798380680382
DEA45,280.0,50963.0,58070.0,56593.0,80765.0,1.0,165698,172424,1229.54,17.5291665395101,4.68200925977694,3.68611432556753,8.89177918654901,0.924642810667003,76.8766718087373,9656.06557266801,2.10773277094984
FRC12,29.0,28470.0,26073.0,29815.0,41097.0,-5.0,98645,141465,6816.47,4.12466532135584,2.05935763825697,3.13414425600288,10.1746290549636,1.01073658504547,65.9747669187366,11916.020395393,1.19510494076979
SE232,59.0,303196.0,325049.0,334202.0,324727.0,6.0,776293,814191,28879.71,8.41313243135976,1.6717256330528,3.67562014274355,6.38258336027085,0.809561144772176,64.1817314952657,9597.83776665019,1.48028354600673
FR101,20334.0,297869.0,497195.0,465642.0,400913.0,-3.0,1123970,1373139,104.24,63.0,4.4773171313383,3.98211808431716,11.5163359642029,1.0530762310539,53.193865776062,11158.2100365048,0.290718484343961
DE80J,47.0,32647.0,29946.0,44216.0,64531.0,-1.0,135718,148194,5420.45,4.59432873398893,2.79478904190439,3.66065361532005,8.33514140674031,0.920802911525374,46.9847269079707,9969.51278315364,1.64813936292394
