CODE_NUTS3,COVID_Mortality_R
DEC03,8.33756527934633
DE945,1.31016953593795
DE221,12.4702100537605
DE502,5.29497418700084
FRB02,107.659573482868
DE725,5.65866908103214
UKH23,71.2401740942231
DE94E,18.858630638238
DE266,10.01527329177
DE22A,41.2939884211656
NL212,26.2201985060882
DEC06,6.88286510731534
FRG04,15.6561343580985
DEA44,12.8095644748079
DED53,0.0
UKE32,70.0987848409676
DEG02,23.3451473927715
NL342,21.1208362419231
DEA41,2.10444036917897
DEB24,8.2702041086374
UKN16,9.3407946468755
DEB3B,8.55651578677163
RO125,20.049280005996
DEB1B,10.9682469251517
UKK23,24.4538203778292
NL311,32.4738343013273
UKK43,18.8043192649628
DE118,12.2428991185113
DEG0J,3.65826890715314
DE238,8.25061235013536
FRB05,19.632124195838
CH070,39.1377310252396
DE244,10.8509299246945
UKF22,54.3422839323955
UKN14,34.2803861342694
DE600,14.440019296625
DEA45,8.91311723336841
FRC12,13.8997135666169
SE232,49.4684186731613
FR101,84.3893679670662
DE80J,1.15478330491283
DEA52,3.40399458764861
DE406,4.78271526702497
FRD12,10.1411650170372
UKE11,69.3782640186025
UKJ25,56.5940942991218
FRE11,26.2017146710336
DEA29,36.3770081492406
RO113,5.85357217811421
DE21N,2.21809820260109
UKJ11,52.6644512777658
DE27B,27.7884656491813
DE734,13.1114259733119
UKG31,83.4694058543354
UKD36,98.5316031595043
CH055,27.3031375037075
FRM01,30.1401517054302
DEG0E,1.57408427647216
UKI43,54.4557440113268
UKI32,50.9055008792768
UKD11,75.8621865357405
DEF0A,6.23018994291588
SE212,53.8795791406207
DE40D,0.0
DEB13,8.58081174479106
DE80N,2.96874337334068
UKN13,42.4601848758214
DED2E,8.26982794622958
DE273,14.5249611457289
UKD63,91.1245290928888
FRJ26,11.9781731067832
DEB23,5.09273877305738
DE211,27.8121363380199
DE225,15.2568878491602
DE713,7.06735979143436
DE26B,21.6014447046218
DE128,7.1016260902817
DE25A,5.99412575675838
NL132,9.44482158141731
DEA22,2.75028343198702
UKJ31,35.0765453295118
DE71A,6.7150429552904
DEA11,7.5828099312223
DEA27,16.6654915358532
DEA26,15.6121485362659
DEF07,1.21099095389757
DEC05,12.6270597891281
FR102,50.2455435150266
DE401,1.39697972982412
UKG22,58.4759134927756
UKF11,87.6766084988374
DEA36,7.15831259049571
DEB37,0.0
DE11C,30.9219259080488
UKH21,85.9150416339648
DEB22,1.78692684321504
DEB12,2.33009708737864
NL125,8.38674056316963
DE21H,27.3928824160522
DEF0E,2.28533122067158
DE241,28.2889068909205
FRI12,10.1518657591104
UKJ14,41.2376485312332
DEB3J,11.9012482029115
UKG38,104.946477296579
UKI44,62.0952435681938
CH061,4.62404111989408
UKF21,76.5237014011657
DEA55,3.84189328501085
UKM92,32.0029869454482
UKI31,74.1400301648162
DE40A,4.29000429000429
UKK12,39.2431956898609
DE139,27.0409364886908
RO411,6.88189389720051
DE215,23.6587835599845
DEG0K,14.8573692551506
DE237,77.2543997968104
FRK21,16.0202373741458
DE40H,7.7895619869375
FRK25,32.4874798754472
DE932,10.609007552603
RO412,20.8605943372968
UKN09,27.7525948676201
RO116,11.342369420972
ITC20,115.735235830361
UKI71,79.2877235333034
FRH04,12.7564579568407
DEA5A,2.88531590602526
DE258,49.4665290701145
PT150,3.89132669060977
RO316,19.4987430274584
CH023,11.2987760874161
UKH14,60.4704126909334
UKI41,46.2259272607612
FRC11,47.0340444031361
UKG36,77.3775809292119
RO422,19.5041529125588
UKM73,102.767638824905
FRE12,2.25283806395193
DE251,19.1076717301997
SI031,18.4582930473763
UKJ32,48.3175286566156
DE923,4.71834830847213
DE268,4.40068210572639
DEF01,3.37697130700046
UKD34,92.4891910830727
DE122,4.45459809979572
RO224,31.3569833788142
CH031,51.6320323083608
UKF24,79.3875815140346
DE409,2.0771343854019
RO122,28.6811424228806
UKM91,64.6211905808153
FRI23,6.72162265348153
DE40C,1.69329848901332
NL211,31.3875721310552
UKM78,54.586940620326
NL412,59.8688725669144
DE279,14.9666990945147
DE91B,11.6267481646348
CH024,12.3291432926658
FRM02,6.08262415465348
DE26C,4.31770939348519
FRI34,9.13183632096578
RO414,10.3633491311216
NL33D,36.6387552450919
DEA17,6.16388343622277
DE94A,2.03053931124107
SE125,66.6499131365886
DE135,18.7306390029537
DE941,5.15370938232793
CH062,243.056503809706
ES620,0.67641378937151
DE93A,0.0
RO311,36.0383972741867
DEA31,5.98915108061397
UKC23,96.6723237878365
DE949,7.73139285681151
FRJ27,5.92443003119341
DE252,9.84525056162679
UKI62,93.2924770698946
UKE22,56.9907281090218
DEG0B,3.99000901742038
FRJ23,5.95119873633824
DEA34,10.3114603741432
FRD22,14.7997987227374
DE123,18.4444159530702
UKM71,92.190767431925
UKK11,30.1487552412863
UKI53,69.5324752536142
DE40B,1.81778521049953
DE935,0.0
DEE09,2.3449627854406
DEA42,5.5013670897218
RO415,6.86689384640475
DE239,13.5664041567462
DEF0F,14.3984926835088
FRI14,3.63078542965807
DEA5B,2.65744533136682
DE934,6.22652082771217
DE24B,15.2937087243657
SI033,1.42209075783216
DEE04,1.19849469066852
DE939,4.46390929336316
DE111,10.200894853884
UKH12,45.2260617845869
FRD13,15.3646605660627
DEB1D,5.85268784689368
ES220,82.8145171526666
DEF0C,2.00758868523017
FRJ12,13.1191608020894
ES130,37.9305507204207
SI044,0.871626804267485
UKM50,48.8879512499899
UKK13,60.6859704359223
UKG32,89.5585777728536
DEB35,12.4969336227685
RO211,24.0900866730565
DE27D,17.1704578539914
