CODE_NUTS3,COVID_Mortality_R,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS
FRJ25,12.7944169816807,33.0,23341.0,21432.0,24948.0,36241.0,-1.0,81935,117222
FRJ26,11.9781731067832,50.0,32034.0,31319.0,34696.0,47707.0,-1.0,106492,160664
FRJ27,5.92443003119341,67.0,63069.0,56045.0,63987.0,80560.0,1.0,174944,209191
FRJ28,2.67003345170482,70.0,48241.0,38513.0,47282.0,53522.0,4.0,111643,129942
FRI21,15.3342450992582,41.0,35467.0,34520.0,38340.0,49483.0,0.0,113263,153242
FRI22,12.7758519363933,21.0,15431.0,14299.0,16847.0,24981.0,-2.0,57029,88250
FRI23,6.72162265348153,67.0,57269.0,60642.0,61498.0,74789.0,-1.0,179767,218972
FRK21,16.0202373741458,113.0,128604.0,105598.0,127627.0,137623.0,5.0,271426,308213
FRK22,35.4133593845402,59.0,53544.0,44829.0,54321.0,69815.0,2.0,145965,201082
FRK23,24.6808838841541,79.0,95640.0,78629.0,92893.0,104478.0,4.0,227578,268819
FRK24,12.1009743261616,161.0,238127.0,228014.0,236436.0,254823.0,2.0,542447,639166
FRK25,32.4874798754472,159.0,137851.0,128440.0,131184.0,148152.0,1.0,338236,393846
FRK26,35.4975538476699,579.0,356062.0,399413.0,372681.0,343274.0,5.0,827273,903646
FRK27,17.3011977042464,69.0,73939.0,69478.0,80245.0,91375.0,2.0,195429,341340
FRK28,20.5606442816159,181.0,159515.0,136737.0,179164.0,171532.0,6.0,360963,500246
FRK11,12.3039987996099,45.0,49796.0,46582.0,51358.0,69205.0,-2.0,160620,206793
FRK12,6.26195860149591,25.0,19912.0,18190.0,22357.0,31092.0,-1.0,67963,100979
FRK13,7.92438376910107,45.0,37400.0,32386.0,37759.0,48619.0,1.0,101054,141983
FRK14,6.83985171201488,82.0,106551.0,116155.0,116704.0,131782.0,2.0,306384,382350
FRJ11,16.0100727779918,58.0,58818.0,50195.0,60189.0,75740.0,1.0,169218,258220
FRJ12,13.1191608020894,127.0,126942.0,115352.0,126798.0,154369.0,2.0,331366,418651
FRJ13,10.609698290983,188.0,192932.0,218924.0,211332.0,223123.0,5.0,536271,706934
FRJ14,1.31966163875582,15.0,11505.0,11240.0,12130.0,16096.0,0.0,34626,60341
FRJ15,7.45792487383677,117.0,78324.0,71270.0,79095.0,96233.0,3.0,222486,346534
FRL01,8.01583435586605,23.0,25294.0,21608.0,25817.0,34358.0,1.0,76041,126646
FRL02,14.0820278120049,25.0,22988.0,19974.0,24497.0,29740.0,2.0,65779,134526
FRL03,17.8317349446569,252.0,170550.0,166538.0,193758.0,217892.0,0.0,509159,761170
FRL04,28.540338237335,389.0,360175.0,359079.0,378102.0,404581.0,2.0,898232,1008665
FRL05,13.3559023349642,179.0,167432.0,155359.0,181652.0,219652.0,4.0,489533,706882
FRL06,7.25902686548138,158.0,100366.0,88979.0,97479.0,116168.0,2.0,248041,298368
FRM01,30.1401517054302,40.0,23936.0,22461.0,30215.0,34543.0,5.0,68694,116327
FRM02,6.08262415465348,38.0,27188.0,28850.0,33417.0,37344.0,5.0,80276,129305
DE111,10.200894853884,3076.0,83654.0,129984.0,149217.0,127664.0,5.0,333253,316697
DE112,12.2351597707947,636.0,58281.0,66305.0,76193.0,89302.0,6.0,183283,183998
DE113,22.4082940565735,836.0,74817.0,93298.0,101330.0,123882.0,5.0,254914,256974
DE114,15.1536934213543,401.0,35723.0,43375.0,45829.0,60164.0,3.0,119444,121804
DE115,13.1768460852871,796.0,80249.0,92620.0,106782.0,125411.0,5.0,258156,258328
DE116,22.7359025684538,498.0,60091.0,71387.0,76654.0,101607.0,4.0,200913,202699
DE117,13.4925989126553,1263.0,18397.0,24053.0,25498.0,26217.0,7.0,62732,60600
DE118,12.2428991185113,312.0,49198.0,58937.0,64787.0,82051.0,5.0,155549,157103
DE119,41.9680328600768,144.0,16006.0,19847.0,20295.0,26661.0,4.0,50188,51951
DE11A,30.2103974971454,132.0,28532.0,34126.0,36172.0,45703.0,4.0,88341,90437
DE11B,8.33043030459082,101.0,17540.0,21747.0,22490.0,31267.0,2.0,60888,64568
DE11C,30.9219259080488,212.0,18603.0,22426.0,23464.0,30388.0,4.0,61443,63099
DE11D,13.7569184502671,207.0,43916.0,55608.0,55575.0,72521.0,2.0,141963,146393
DE121,34.7330128146537,391.0,6412.0,8218.0,9243.0,12725.0,3.0,28973,29992
DE122,4.45459809979572,1813.0,37870.0,72213.0,65265.0,63992.0,5.0,168854,159146
DE123,18.4444159530702,410.0,61108.0,72194.0,80415.0,107369.0,4.0,205938,206660
DE124,7.35660038513967,313.0,31024.0,37313.0,40704.0,56191.0,3.0,108637,110617
DE125,4.3338554597292,1486.0,19383.0,42896.0,36123.0,29136.0,6.0,86312,80671
DE126,4.20411291600506,2135.0,40020.0,65253.0,64561.0,64701.0,4.0,163997,167483
DE127,16.074810771521,127.0,19093.0,23887.0,23998.0,35011.0,1.0,64308,67248
DE128,7.1016260902817,518.0,76819.0,88467.0,98514.0,131496.0,3.0,262037,266663
DE129,6.38773554774832,1279.0,18379.0,24073.0,23863.0,26152.0,6.0,63454,62076
DE12A,17.0829853465948,198.0,22279.0,26670.0,27525.0,38061.0,4.0,73324,77037
DE12B,11.0489468344767,348.0,27869.0,32712.0,34457.0,48780.0,3.0,90745,92567
DE12C,33.2305175440091,135.0,16562.0,20203.0,20227.0,28202.0,2.0,54471,57092
DE131,34.6216930873462,1511.0,31234.0,57081.0,48938.0,44197.0,5.0,116536,116470
DE132,26.8823311145945,192.0,37758.0,43650.0,45446.0,62165.0,6.0,121466,124024
DE133,25.946441717051,244.0,23740.0,26961.0,29083.0,40138.0,5.0,76056,76910
DE134,29.0105303546069,230.0,60854.0,72200.0,74628.0,101544.0,4.0,196699,199734
DE135,18.7306390029537,181.0,19985.0,23596.0,23718.0,32996.0,3.0,64050,66882
DE136,15.5973796402204,206.0,28906.0,36666.0,36995.0,47774.0,3.0,102036,105479
DE137,17.1166930549018,191.0,21489.0,24846.0,26002.0,31492.0,5.0,63384,64989
DE138,5.9506515963498,350.0,38607.0,55410.0,49851.0,64672.0,4.0,141987,143395
DE139,27.0409364886908,284.0,33199.0,38010.0,41444.0,55320.0,3.0,108891,111221
DE13A,20.4759787517843,151.0,24993.0,28565.0,29947.0,39693.0,4.0,79711,83445
DE141,28.5920507125348,263.0,40779.0,50067.0,51704.0,66999.0,4.0,135836,134950
