CODE_NUTS3,COVID_Mortality_R,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE AREA,NTL_avg,NO2_avg,WIND_Avg,Temp_mean_over12yrs,PRESSURE_avg,PRECIPITATION,SOLAR_RAD_avg,LAI_avg
AT130,11.4462670601408,4636.0,280328.0,386445.0,434245.0,404062.0,8.0,918655,1037729,410.64,55.458332824707,2.59704166482444,3.16614581478967,10.0860724788573,0.939185959597429,48.3800156911214,11393.8558213976,1.34318510388456
DK050,5.04553596205757,75.0,93508.0,114449.0,99287.0,120889.0,2.0,285795,308341,7826.06,8.21992704524832,2.57963239916388,5.24937040888601,7.65989315175409,0.908136923776732,57.8568749785423,9544.85255508423,1.62100897693372
FR101,84.3893679670662,20334.0,297869.0,497195.0,465642.0,400913.0,-3.0,1123970,1373139,104.24,63.0,4.4773171313383,3.98211808431716,11.5163359642029,1.0530762310539,53.193865776062,11158.2100365048,0.290718484343961
FR102,50.2455435150266,241.0,297247.0,264533.0,287928.0,290189.0,3.0,554540,604082,5863.81,19.8069249341186,4.83058333650783,3.92066460763904,10.4370720806256,1.03738491586956,52.9425127047328,11359.2825901945,0.85279977908358
FR103,40.65484178317,624.0,289325.0,253838.0,280752.0,295188.0,1.0,575404,628815,2281.57,31.5446427890233,4.12405092616876,4.05641395979457,10.5784664332867,1.03317669812176,52.4008680767483,11198.3319173177,1.23832128447535
FR104,42.103634112592,725.0,274043.0,252830.0,264684.0,262715.0,4.0,515998,550398,1800.47,30.4277145429091,3.77827006208676,3.99996730296508,10.762726455495,1.04074150129505,52.3887128000674,11423.0070570794,0.809311696074226
FR105,69.2530246911278,9165.0,302193.0,310947.0,355413.0,314958.0,1.0,712669,789097,173.75,62.4583339691162,4.4773171313383,4.01680174138811,11.4218941926956,1.04714121090041,53.5713735156589,11171.1981811523,0.875893671996891
FR106,61.5913097193136,7009.0,373629.0,330521.0,368450.0,307921.0,5.0,633706,661868,234.33,62.7916679382324,4.4773171313383,4.00461032655504,11.320814066463,1.05298418634468,53.3069060643514,11128.2751464844,0.555354109499604
FR107,87.9774205592503,5713.0,268753.0,275790.0,294563.0,274524.0,3.0,587482,625732,242.25,61.7413196563721,4.83058333650783,3.99160882499483,11.359722216924,1.05078318549527,53.1948303646512,11224.9120212131,0.861620176583529
FR108,58.5473989315501,996.0,273613.0,236582.0,259926.0,239766.0,3.0,470828,497300,1238.97,36.6499185562134,4.4773171313383,4.01833664945194,10.6431589169162,1.0364153534174,53.8749174163455,11067.0713253929,1.10452595079939
FRF21,22.4389660124461,51.0,45556.0,41299.0,46221.0,56314.0,-4.0,119412,141882,5184.2,8.74046429324506,4.12650231630714,3.59210826127957,9.62172720982478,0.989991897497422,69.3310719905755,10707.9288045247,1.08249204127166
FRF22,44.2546483532102,51.0,55676.0,52292.0,54339.0,60536.0,1.0,140499,162917,5965.53,7.49112656381395,3.34234814948506,3.46765779329578,10.3577089953311,1.02462865188368,60.0428403621548,11419.4718444538,0.739653304023178
FRF23,48.2510746430037,69.0,100600.0,106979.0,103078.0,111495.0,0.0,258320,291832,8104.96,9.56881318971364,3.529314817433,3.6754393604581,10.2376067516873,1.01674470956464,56.5285699807324,11136.1403597242,0.7743953807379
FRF24,52.0110957004161,28.0,26843.0,25866.0,28143.0,36173.0,-3.0,80014,100631,6193.38,5.69034902598613,2.33034259224379,3.22051542223274,9.73824779050691,0.976927003690175,68.1248272404526,11611.2951100007,1.00446450363082
