COUNTRY,NUTS2,NUTS3,CODE,CODE_NUTS2,CODE_NUTS3,POPULATION,POP_DENS,POP>=60,%POP>=60,FEMEALES,%FEMEALS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE AREA,UNEM_R,D_MEDICALE,COPD %,Respiratory dis mortality,Smokers %,Diabetes %,Diabetes mortality,Cardiovascular dis mortality,BEDS_Intcare/reanim,COVID19_D,COVID_Mortality_R,COVID19_CCONF,COVID_Cases_R,COVID19_TESTS,DURATION_LD (days),Lag_1stCase-LD (days),LD_SEVEIRTY_W1,LD_SEVEIRTY_W2,LD_SEVEIRTY_W3,LD_SEVEIRTY_W4,LD_SEVEIRTY_W5,LD_SEVEIRTY_W6,LD_SEVEIRTY_W7,LD_SEVEIRTY_W8,LD_SEVEIRTY_W9,LD_SEVEIRTY_W10,LD_SEVEIRTY_W11,LD_SEVEIRTY_W12,LD_SEVEIRTY_W13,LD_SEVEIRTY_W14,LD_SEVEIRTY_W15,LD_SEVEIRTY_W16,LD_SEVEIRTY_W17,LD_SEVEIRTY_W18,LD_SEVEIRTY_W19,LD_SEVEIRTY_W20,LD_SEVEIRTY_W21,LD_SEVEIRTY_W22,LD_SEVEIRTY_W23,LD_SEVEIRTY_W24,LD_SEVEIRTY_W25,LD_SEVEIRTY_W26,LD_SEVEIRTY_W27,LD_SEVEIRTY_W28,LD_SEVEIRTY_W29,LD_SEVEIRTY_W30,LD_SEVEIRTY_W31,LD_SEVEIRTY_W32,LD_SEVEIRTY_W33,LD_SEVEIRTY_W34,LD_SEVEIRTY_W35,NO2_avg,WIND_Avg,Temp_mean_over12yrs,NTL_avg,PRESSURE_avg,PRECIPITATION,SOLAR_RAD_avg,LAI_avg
Austria,Niederösterreich,Weinviertel,AT,AT12,AT125,126425,52,36861,29.1564168479336,63815,50.4765671346648,16337,19668,22373,31186,2,55867,73005,2387.4,,,,,,,,,,,,445,351.987344275262,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64742824001997,3.06045645289123,9.60191697497188,7.92162694249834,0.910994652115429,47.7192563911279,11298.4827982585,1.33319801286511
Austria,Niederösterreich,Wiener Umland/Nordteil,AT,AT12,AT126,335079,123,85899,25.6354471632063,170684,50.9384354137383,49580,52472,62764,84364,7,145129,180954,2697.01,,,,,,,,,,,,736,219.649694549644,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63909953613248,3.0565759950214,9.82376735524999,16.143253837313,0.934109373225106,48.361593468984,11405.0519022624,1.57578155797298
Austria,Niederösterreich,Wiener Umland/Südteil,AT,AT12,AT127,346662,235,89751,25.8900600585008,178117,51.3805955080165,50516,54414,66742,85239,6,155770,187770,1461.98,,,,,,,,,,,,826,238.272438282823,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.630770832245,3.21266142527262,9.71748905060323,24.0906865176033,0.935563468880821,50.5413924518384,11566.744356925,1.7647373067836
Austria,Wien,Wien,AT,AT13,AT130,1922024,4636,416944,21.6929653323788,985078,51.2521175594061,280328,386445,434245,404062,8,918655,1037729,410.64,10,679.56,5.48215517877921,75.13,22.8975014449506,6.56414943971564,33.21,362.69,763,220,11.4462670601408,7906,411.33721535215,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59704166482444,3.16614581478967,10.0860724788573,55.458332824707,0.939185959597429,48.3800156911214,11393.8558213976,1.34318510388456
Austria,Kärnten,-,AT,AT21,-,567400,,163765,28.8623545999295,290792,51.2499118787452,75962,88965,102972,135736,,,,,4.1,481.18,4.68411981395037,60.05,20.3247282238794,6.93665223755882,31.08,371.9,175,13,2.29115262601339,646,113.852661261896,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Austria,Kärnten,Klagenfurt-Villach,AT,AT21,AT211,291119,143,82078,28.1939687893954,150710,51.7692077810105,38915,45537,54610,69979,4,138391,170828,2015.58,,,,,,,,,,,,368,126.408788158794,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4455590563956,1.62298242612319,6.70819395441901,12.5128205040326,0.831733216954903,113.691076986717,11613.7076998624,2.09741782334944
Austria,Kärnten,Oberkärnten,AT,AT21,AT212,125635,30,37959,30.2137143311975,63834,50.8090898236956,16478,19816,21587,29795,0,53564,71968,4100.44,,,,,,,,,,,,94,74.8199148326501,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79609678472058,2.85783364155736,3.46613581259664,3.74583331942558,0.663972243571129,121.3576164429,11709.7977208847,1.88030099050957
Austria,Kärnten,Unterkärnten,AT,AT21,AT213,150646,45,43728,29.0269904278906,76248,50.614022277392,20569,23612,26775,35962,0,64332,77842,3350.47,,,,,,,,,,,,184,122.140647610955,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4455590563956,2.15008679836515,5.97708747457595,5.90159214451546,0.778728503379084,103.415192346724,11483.9562591068,2.43308450083902
Austria,Steiermark,-,AT,AT22,-,1258229,,337423,26.8172963745073,636838,50.6138389752581,168570,217625,243915,290696,,,,,4,518.35,4.33501024462786,48.9,20.3483268373187,5.58239689178276,29.56,361.93,403,144,11.4446575305449,1546,122.871114876545,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Austria,Steiermark,Graz,AT,AT22,AT221,449315,370,103631,23.0642199793018,227460,50.6237272292267,61736,91795,95721,96432,7,209554,232048,1204.15,,,,,,,,,,,,1265,281.539677063975,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93689655986097,1.957084985716,8.35415423249028,20.4890875135149,0.874928076707181,76.0063657079424,11484.4606003534,2.28286344628049
Austria,Steiermark,Liezen,AT,AT22,AT222,80766,24,24031,29.7538568209395,41241,51.062328207414,10780,12604,14508,18843,2,35566,47276,3288.72,,,,,,,,,,,,128,158.482529777382,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81675291059746,2.92909564597137,4.22803951827761,4.55085782224641,0.687597720912009,111.583333427256,11056.9643027566,2.29022449053103
Austria,Steiermark,Östliche Obersteiermark,AT,AT22,AT223,160680,50,51775,32.222429673886,81816,50.9185959671397,19142,24656,27564,37543,-1,77882,97720,3179.59,,,,,,,,,,,,153,95.2203136669156,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19889960208149,2.92152777755702,5.51081533655007,5.54221492221481,0.721254822901554,97.3649208545685,11185.4836454038,2.39793749346686
Austria,Steiermark,Oststeiermark,AT,AT22,AT224,270078,81,72918,26.9988669939795,135797,50.280659661283,37929,42794,51452,64985,2,106038,124197,3307.66,,,,,,,,,,,,563,208.458297232651,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03982812944754,2.27558145636604,8.20728341329174,9.88628470506519,0.880500163055129,75.8516314256759,11595.6099872892,2.24538934270018
Austria,Steiermark,West- und Südsteiermark,AT,AT22,AT225,196806,87,54373,27.6277146021971,99554,50.5848398930927,26051,30278,37200,48904,3,82791,96772,2252.74,,,,,,,,,,,,376,191.051085840879,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72217998195945,1.98433795134226,7.91278237619127,8.67624522283159,0.865364347696304,87.1769445927938,11545.328914388,2.33738743584111
Austria,Steiermark,Westliche Obersteiermark,AT,AT22,AT226,100584,33,30695,30.5167819931599,50970,50.6740634693391,12932,15498,17470,23989,-1,44393,55469,3035.42,,,,,,,,,,,,12,11.9303268909568,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64811854899762,2.88257458778443,4.07649337864886,4.15113300575238,0.68140512359915,111.465486623623,11270.1669486717,2.28681168981365
